epoch,loss,match,kl,ce,coord,disp,smooth,z_spacing,top1,top5,pmax,ent,inside_valid,cand_valid,inside_all,valid_inside_all,valid,pred_mag,gt_mag
539,1.8967,1.0926,0.6092,1.2135,1.3765,1.3765,1.4856,1.6211,0.728,0.964,0.411,1.834,1.0,0.802,0.998,0.568,0.568,2.282,2.581
540,1.8997,1.095,0.6113,1.216,1.3778,1.3778,1.4905,1.6213,0.728,0.964,0.411,1.834,1.0,0.802,0.998,0.568,0.568,2.287,2.581
541,1.896,1.095,0.6105,1.2162,1.3718,1.3718,1.4886,1.6218,0.727,0.964,0.41,1.836,1.0,0.802,0.998,0.568,0.568,2.295,2.581
542,1.8885,1.0904,0.6102,1.2104,1.3672,1.3672,1.4803,1.621,0.728,0.965,0.412,1.83,1.0,0.802,0.998,0.568,0.568,2.297,2.581
543,1.8922,1.0936,0.6081,1.2149,1.3688,1.3688,1.4928,1.6256,0.729,0.965,0.409,1.841,1.0,0.802,0.998,0.568,0.568,2.305,2.581
544,1.8894,1.092,0.608,1.213,1.3665,1.3665,1.4901,1.6243,0.729,0.964,0.409,1.837,1.0,0.802,0.998,0.568,0.568,2.304,2.581
545,1.8907,1.0914,0.6091,1.2119,1.3696,1.3696,1.4907,1.6255,0.728,0.965,0.41,1.837,1.0,0.802,0.998,0.568,0.568,2.298,2.581
546,1.8887,1.093,0.6076,1.2143,1.3642,1.3642,1.4894,1.6242,0.729,0.964,0.409,1.838,1.0,0.802,0.998,0.568,0.568,2.309,2.581
547,1.8872,1.0914,0.6083,1.2121,1.3641,1.3641,1.4881,1.6234,0.73,0.964,0.41,1.834,1.0,0.802,0.998,0.568,0.568,2.307,2.581
548,1.8889,1.0933,0.6067,1.2149,1.3638,1.3638,1.492,1.6223,0.73,0.965,0.409,1.838,1.0,0.802,0.998,0.568,0.568,2.31,2.581
549,1.8926,1.0934,0.6086,1.2146,1.3693,1.3693,1.4894,1.6214,0.729,0.965,0.41,1.835,1.0,0.802,0.998,0.568,0.568,2.298,2.581
550,1.8864,1.0898,0.6093,1.2099,1.3652,1.3652,1.4842,1.6217,0.73,0.965,0.411,1.83,1.0,0.802,0.998,0.568,0.568,2.302,2.581
551,1.8873,1.0888,0.6096,1.2086,1.3681,1.3681,1.4859,1.6229,0.729,0.965,0.412,1.83,1.0,0.802,0.998,0.568,0.568,2.297,2.581
552,1.8883,1.0895,0.6101,1.2093,1.3687,1.3687,1.4857,1.6238,0.729,0.965,0.411,1.832,1.0,0.802,0.998,0.568,0.568,2.296,2.581
553,1.8856,1.089,0.6093,1.2089,1.365,1.365,1.4836,1.6229,0.73,0.965,0.411,1.83,1.0,0.802,0.998,0.568,0.568,2.298,2.581
