epoch,loss,match,kl,ce,coord,disp,smooth,z_spacing,top1,top5,pmax,ent,inside_valid,cand_valid,inside_all,valid_inside_all,valid,pred_mag,gt_mag
2031,2.4306,0.0,0.0,0.0,2.0061,2.0061,2.3284,1.7591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.417,4.747
2032,2.4341,0.0,0.0,0.0,2.009,2.009,2.3292,1.7582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.416,4.747
2033,2.4366,0.0,0.0,0.0,2.0109,2.0109,2.3485,1.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.463,4.747
2034,2.4289,0.0,0.0,0.0,2.0046,2.0046,2.3354,1.7596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.428,4.747
2035,2.4257,0.0,0.0,0.0,2.002,2.002,2.3363,1.7629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.434,4.747
2036,2.428,0.0,0.0,0.0,2.0039,2.0039,2.3408,1.7631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.436,4.747
2037,2.4318,0.0,0.0,0.0,2.007,2.007,2.3385,1.7621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.43,4.747
2038,2.4301,0.0,0.0,0.0,2.0056,2.0056,2.3403,1.7633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.438,4.747
2039,2.4361,0.0,0.0,0.0,2.0105,2.0105,2.357,1.7656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.468,4.747
2040,2.4257,0.0,0.0,0.0,2.002,2.002,2.3331,1.7598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.423,4.747
2041,2.4273,0.0,0.0,0.0,2.0032,2.0032,2.342,1.7642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.443,4.747
2042,2.4256,0.0,0.0,0.0,2.0018,2.0018,2.3392,1.7612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.431,4.747
2043,2.423,0.0,0.0,0.0,1.9998,1.9998,2.3342,1.7622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.427,4.747
2044,2.4228,0.0,0.0,0.0,1.9995,1.9995,2.3381,1.7638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.437,4.747
2045,2.4303,0.0,0.0,0.0,2.0057,2.0057,2.3535,1.7615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.458,4.747
2046,2.4282,0.0,0.0,0.0,2.0039,2.0039,2.3557,1.7632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.459,4.747
2047,2.426,0.0,0.0,0.0,2.002,2.002,2.3543,1.7619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.456,4.747
2048,2.4416,0.0,0.0,0.0,2.015,2.015,2.3594,1.7648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.472,4.747
2049,2.4308,0.0,0.0,0.0,2.0061,2.0061,2.3486,1.7633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.445,4.747
2050,2.4264,0.0,0.0,0.0,2.0025,2.0025,2.342,1.7634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.434,4.747
2051,2.4228,0.0,0.0,0.0,1.9995,1.9995,2.3383,1.7601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.426,4.747
2052,2.422,0.0,0.0,0.0,1.9989,1.9989,2.3361,1.7606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.426,4.747
2053,2.4223,0.0,0.0,0.0,1.9991,1.9991,2.337,1.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.427,4.747
2054,2.4269,0.0,0.0,0.0,2.0027,2.0027,2.363,1.7584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.486,4.747
2055,2.4237,0.0,0.0,0.0,2.0001,2.0001,2.3558,1.7623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.467,4.747
2056,2.4201,0.0,0.0,0.0,1.9973,1.9973,2.3386,1.7619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.43,4.747
2057,2.4231,0.0,0.0,0.0,1.9997,1.9997,2.3417,1.7635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.435,4.747
2058,2.4286,0.0,0.0,0.0,2.0041,2.0041,2.3647,1.7578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.487,4.747
2059,2.4227,0.0,0.0,0.0,1.9993,1.9993,2.3578,1.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.471,4.747
2060,2.4208,0.0,0.0,0.0,1.9978,1.9978,2.341,1.7613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.432,4.747
2061,2.4276,0.0,0.0,0.0,2.0033,2.0033,2.3657,1.7605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.487,4.747
2062,2.4209,0.0,0.0,0.0,1.9977,1.9977,2.3617,1.7626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.475,4.747
2063,2.4185,0.0,0.0,0.0,1.9958,1.9958,2.3601,1.7663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.468,4.747
2064,2.4232,0.0,0.0,0.0,1.9997,1.9997,2.3479,1.7645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.438,4.747
2065,2.424,0.0,0.0,0.0,2.0003,2.0003,2.3649,1.7587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.482,4.747
2066,2.4169,0.0,0.0,0.0,1.9944,1.9944,2.3599,1.7636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.47,4.747
2067,2.4167,0.0,0.0,0.0,1.9943,1.9943,2.3461,1.7635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.436,4.747
2068,2.4213,0.0,0.0,0.0,1.9981,1.9981,2.3611,1.7621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.473,4.747
2069,2.4219,0.0,0.0,0.0,1.9985,1.9985,2.3655,1.7628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.477,4.747
2070,2.4177,0.0,0.0,0.0,1.9951,1.9951,2.3636,1.7631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.473,4.747
2071,2.4248,0.0,0.0,0.0,2.0011,2.0011,2.3514,1.7655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.441,4.747
2072,2.422,0.0,0.0,0.0,1.9986,1.9986,2.3665,1.7602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.48,4.747
2073,2.4162,0.0,0.0,0.0,1.9938,1.9938,2.364,1.7643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.473,4.747
